id,player_id,team_id,world_cup_id,weight,height,position
1,1,1,1,83,1.88,keeper
2,2,1,1,66,1.8,keeper
3,3,1,1,71,1.86,defender
4,4,1,1,77,1.74,defender
5,5,1,1,82,1.85,defender
6,6,1,1,60,1.66,defender
7,7,1,1,78,1.84,defender
8,8,1,1,73,1.8,defender
9,9,1,1,69,1.79,defender
10,10,1,1,87,1.9,defender
11,11,1,1,76,1.82,midfielder
12,12,1,1,71,1.63,midfielder
13,13,1,1,74,1.77,forward
14,14,1,1,68,1.76,forward
15,15,1,1,73,1.76,forward
16,16,1,1,58,1.7,forward
17,17,1,1,68,1.8,forward
18,18,1,1,77,1.94,forward
19,19,2,1,90,1.9,keeper
20,20,2,1,84,1.95,keeper
21,21,2,1,85,1.87,defender
22,22,2,1,57,1.7,defender
23,23,2,1,78,1.75,defender
24,24,2,1,66,1.83,defender
25,25,2,1,73,1.73,defender
26,26,2,1,78,1.87,defender
27,27,2,1,73,1.78,midfielder
28,28,2,1,67,1.76,midfielder
29,29,2,1,71,1.73,midfielder
30,30,2,1,72,1.75,midfielder
31,31,2,1,74,1.78,midfielder
32,32,2,1,85,1.87,forward
33,33,2,1,70,1.68,forward
34,34,2,1,65,1.78,forward
35,35,2,1,72,1.81,forward
36,36,2,1,76,1.77,forward
37,37,3,1,93,1.97,keeper
38,38,3,1,87,1.96,keeper
39,39,3,1,70,1.75,defender
40,40,3,1,83,1.97,defender
41,41,3,1,79,1.87,defender
42,42,3,1,89,1.95,defender
43,43,3,1,70,1.88,defender
44,44,3,1,71,1.78,defender
45,45,3,1,59,1.75,midfielder
46,46,3,1,66,1.74,midfielder
47,47,3,1,79,1.87,midfielder
48,48,3,1,83,1.89,midfielder
49,49,3,1,73,1.67,midfielder
50,50,3,1,75,1.8,forward
51,51,3,1,80,1.89,forward
52,52,3,1,72,1.78,forward
53,53,3,1,89,1.75,forward
54,54,3,1,76,1.85,forward
55,55,4,1,84,1.9,keeper
56,56,4,1,83,1.85,keeper
57,57,4,1,72,1.8,defender
58,58,4,1,96,1.88,defender
59,59,4,1,78,1.89,defender
60,60,4,1,80,1.88,defender
61,61,4,1,92,1.93,defender
62,62,4,1,75,1.82,midfielder
63,63,4,1,74,1.8,midfielder
64,64,4,1,83,1.9,midfielder
65,65,4,1,70,1.79,midfielder
66,66,4,1,77,1.83,midfielder
67,67,4,1,74,1.73,midfielder
68,68,4,1,74,1.78,forward
69,69,4,1,74,1.78,forward
70,70,4,1,78,1.76,forward
71,71,4,1,76,1.89,forward
72,72,4,1,78,1.79,forward
73,73,5,1,77,1.85,keeper
74,74,5,1,77,1.88,keeper
75,75,5,1,69,1.75,defender
76,76,5,1,80,1.86,defender
77,77,5,1,100,1.94,defender
78,78,5,1,75,1.85,defender
79,79,5,1,70,1.88,defender
80,80,5,1,70,1.78,defender
81,81,5,1,75,1.86,midfielder
82,82,5,1,68,1.75,midfielder
83,83,5,1,67,1.82,midfielder
84,84,5,1,70,1.78,midfielder
85,85,5,1,73,1.78,midfielder
86,86,5,1,80,1.85,midfielder
87,87,5,1,70,1.71,forward
88,88,5,1,85,1.88,forward
89,89,5,1,65,1.78,forward
