id,team_id,name,height,weight,birthday,position,debut
1,1,SAAD AL SHEEB,1.88,83,1990-02-19,keeper,2009-01-01
2,1,MESHAAL BARSHAM,1.80,66,1998-02-14,keeper,2020-01-01
3,1,HOMAM AHMED,1.86,71,1999-08-25,defender,2019-01-01
4,1,BASSAM ALRAWI,1.74,77,1997-12-16,defender,2017-01-01
5,1,ABDULKARIM HASSAN,1.85,82,1993-08-28,defender,2010-01-01
6,1,MUSSAB KHIDIR,1.66,60,1993-09-26,defender,2016-01-01
7,1,BOUALEM KHOUKHI,1.84,78,1990-07-09,defender,2014-01-01
8,1,PEDRO MIGUEL,1.80,73,1990-08-06,defender,2016-01-01
9,1,TAREK SALMAN,1.79,69,1997-12-05,defender,2017-01-01
10,1,KARIM BOUDIAF,1.90,87,1990-09-16,defender,2013-01-01
11,1,ABDULAZIZ HATEM,1.82,76,1990-10-28,midfielder,2009-01-01
12,1,ASSIM OMER MADIBO,1.63,71,1996-10-22,midfielder,2017-01-01
13,1,YOUSUF ABDURISAG,1.77,74,1999-08-06,forward,2019-01-01
14,1,AKRAM HASSAN AFIF,1.76,68,1996-11-18,forward,2015-01-01
15,1,AHMAD ALAAELDIN,1.76,73,1993-01-31,forward,2016-01-01
16,1,HASAN AL-HAYDOS,1.70,58,1990-12-11,forward,2008-01-01
17,1,ALMOEZ ALI,1.80,68,1996-08-19,forward,2016-01-01
18,1,MOHAMMED MUNTARI,1.94,77,1993-12-20,forward,2014-01-01
19,2,HERNAN GALINDEZ,1.90,90,1987-03-30,keeper,2021-01-01
20,2,ALEXANDER DOMINGUEZ,1.95,84,1987-06-05,keeper,2011-01-01
21,2,ROBERT ARBOLEDA,1.87,85,1991-10-22,defender,2016-10-22
22,2,BAYRON CASTILLO,1.70,57,1998-10-11,defender,2021-01-01
23,2,PERVIS ESTUPINAN,1.75,78,1998-01-21,defender,2019-01-01
24,2,PIERO HINCAPIE,1.83,66,2002-01-09,defender,2021-01-01
25,2,ANGELO PRECIADO,1.73,73,1998-02-18,defender,2018-01-01
26,2,FELIX TORRES,1.87,78,1997-01-11,defender,2019-01-01
27,2,MOISES CAICEDO,1.78,73,2001-11-02,midfielder,2020-01-01
28,2,ALAN FRANCO,1.76,67,1998-08-21,midfielder,2018-01-01
29,2,CARLOS GRUEZO,1.73,71,1994-04-19,midfielder,2014-01-01
30,2,JEGHSON MENDEZ,1.75,72,1994-04-26,midfielder,2018-01-01
31,2,JEREMY SARMIENTO,1.78,74,2002-06-16,midfielder,2021-01-01
32,2,MICHAEL ESTRADA,1.87,85,1996-07-07,forward,2017-01-01
33,2,ANGEL MENA,1.68,70,1988-01-21,forward,2015-01-01
34,2,GONZALO PLATA,1.78,65,2000-11-01,forward,2019-01-01
