id,name,abbreviation,championships,group
1,QATAR,QAT,0,A
2,ECUADOR,ECU,0,A
3,SENEGAL,SEN,0,A
4,NETHERLANDS,NED,0,A
5,ENGLAND,ENG,1,B
6,IR IRAN,IRN,0,B
7,USA,USA,0,B
8,WALLES,WAL,0,B
9,ARGENTINA,ARG,2,C
10,SAUDI ARABIA,KSA,0,C
11,MEXICO,MEX,0,C
12,POLAND,POL,0,C
13,FRANCE,FRA,0,D
14,AUSTRALIA,AUS,0,D
15,DENMARK,DEN,0,D
16,TUNISIA,TUN,0,D
17,SPAIN,ESP,0,E
18,COSTA RICA,CRC,0,E
19,GERMANY,GER,0,E
20,JAPAN,JPN,0,E
21,BELGIUM,BEL,0,F
22,CANADA,CAN,0,F
23,MOROCO,MAR,0,F
24,CROATIA,CRO,0,F
25,BRAZIL,BRA,5,G
26,SERBIA,SRB,0,G
27,SWITZERLAND,SUI,0,G
28,CAMEROON,CMR,0,G
29,PORTUGAL,POR,0,H
30,GHANA,GHA,0,H
31,URUGUAY,URU,2,H
32,KOREA REPUBLIC,KOR,0,H
